,ra,dec,z,mag_auto_g_dered,mag_auto_r_dered,mag_auto_i_dered,mag_auto_z_dered,mag_auto_y_dered,magerr_auto_g,magerr_auto_r,magerr_auto_i,magerr_auto_z,magerr_auto_y
0,36.78966,-4.220806,0.3841,23.834373474121094,22.906627655029297,22.835657119750977,22.88893699645996,22.222318649291992,0.1084146797657013,0.05875229835510254,0.09993855655193329,0.2200012505054474,0.3193320333957672
1,53.001129,-27.770151,1.0318,23.792634963989258,23.05509376525879,22.528736114501953,22.197301864624023,21.712650299072266,0.1608443260192871,0.09866304695606232,0.11395087093114853,0.1503712683916092,0.4142152667045593
2,53.037355,-27.689939,0.9692,24.455936431884766,24.050777435302734,23.276487350463867,23.096675872802734,22.38709259033203,0.17736001312732697,0.16183677315711975,0.15488921105861664,0.21129100024700165,0.47976768016815186
3,53.120098,-27.73221,0.2135,19.591222763061523,18.40460968017578,17.987977981567383,17.710845947265625,17.627424240112305,0.006990089081227779,0.0031082502100616693,0.004037265665829182,0.005413536913692951,0.02075931243598461
4,52.967804,-27.638991,0.5036,22.962934494018555,22.27126693725586,21.92037010192871,21.90518569946289,22.177474975585938,0.050081804394721985,0.03494321182370186,0.044931985437870026,0.07415279000997543,0.41978493332862854
5,36.906071,-4.386691,1.2289,24.699838638305664,23.68893814086914,23.426172256469727,23.155731201171875,22.11122703552246,0.2674083411693573,0.1353689283132553,0.17469416558742523,0.28836703300476074,0.2988048493862152
6,36.909224,-4.217775,0.7858,24.436861038208008,24.0365047454834,23.654565811157227,23.600749969482422,23.02107048034668,0.19489780068397522,0.17198479175567627,0.22007562220096588,0.43918174505233765,0.6941308975219727
7,52.982603,-27.644396,0.5264,23.95660972595215,22.047712326049805,21.365877151489258,20.993375778198242,21.366220474243164,0.17034746706485748,0.038835007697343826,0.037665173411369324,0.04393434524536133,0.27266713976860046
8,53.111043,-27.674665,0.3107,22.013534545898438,21.13929557800293,20.799665451049805,20.36031723022461,20.24077033996582,0.03791394457221031,0.022565167397260666,0.03079426847398281,0.034296758472919464,0.13244959712028503
9,53.108066,-27.657749,0.7853,24.076017379760742,23.608348846435547,22.794282913208008,22.39931297302246,22.093952178955078,0.11446116864681244,0.09460634738206863,0.09179337322711945,0.10199299454689026,0.3304412364959717
10,36.336454,-4.601271,0.8516,25.101825714111328,24.42052459716797,24.332487106323242,24.324859619140625,23.95703887939453,0.23164521157741547,0.1632770299911499,0.2564334273338318,0.4899709224700928,0.8825675249099731
11,53.133177,-27.93154,0.8396,23.855369567871094,23.34445571899414,22.82278060913086,22.78546714782715,22.220767974853516,0.08229462057352066,0.06715307384729385,0.0852283164858818,0.13807840645313263,0.3076845407485962
12,36.91534,-4.21953,0.2357,22.041030883789062,21.438648223876953,21.11402702331543,21.02035140991211,20.8000431060791,0.039545319974422455,0.02874845638871193,0.037791408598423004,0.07918602973222733,0.1515703946352005
13,36.833385,-4.312072,1.5534,24.21854591369629,23.500486373901367,23.24489974975586,22.542224884033203,22.277748107910156,0.14179901778697968,0.10001008212566376,0.12923118472099304,0.14352767169475555,0.2790108323097229
14,36.921053,-4.206008,0.1782,21.4311466217041,20.899883270263672,20.639751434326172,20.54663848876953,20.5748291015625,0.020358217880129814,0.016040384769439697,0.023680368438363075,0.05805106461048126,0.11677423864603043
15,36.912228,-4.381296,0.3456,24.2591495513916,23.432353973388672,23.322765350341797,23.032608032226562,24.509885787963867,0.141540989279747,0.08705113083124161,0.12937863171100616,0.20670290291309357,2.157287836074829
16,53.175873,-27.911867,0.0095,22.015945434570312,21.217294692993164,20.97241973876953,20.820547103881836,20.89719581604004,0.02145294100046158,0.011929948814213276,0.0165888499468565,0.027815602719783783,0.13630656898021698
